Journal Name,keyword,text,Source Type
Does the intensity of use of social media influence the economic sustainability of the university_,sustainability,Does the intensity of use of social media influence the economic sustainability of the university? Vera Gelashvili1   · Juan Gabriel Martínez‑Navalón1   · Miguel Ángel Gómez‑Borja2,Journal
Does the intensity of use of social media influence the economic sustainability of the university_,sustainability,"Abstract In the last decades the term sustainability has become indispensable for society, govern- ments and companies. Its correct implementation is of utmost importance, and therefore",Journal
Does the intensity of use of social media influence the economic sustainability of the university_,sustainable,"ments and companies. Its correct implementation is of utmost importance, and therefore public institutions continuously promote the actions of sustainable development. During the pandemic, universities adapted to online teaching, using different platforms or even",Journal
Does the intensity of use of social media influence the economic sustainability of the university_,sustainable,"social media. The intensity of social media use has had positive and negative impacts. Sev- eral studies have linked the use of social media to sustainable development. Therefore, this study analyses the intensity of social media use in public universities and the relationship",Journal
Does the intensity of use of social media influence the economic sustainability of the university_,sustainability,"study analyses the intensity of social media use in public universities and the relationship between the three dimensions of sustainability. To achieve the objectives set out, a sam- ple of 447 users was used, and the data was analysed based on PLS-SEM (Partial Least",Journal
Does the intensity of use of social media influence the economic sustainability of the university_,sustainability,"tainability of universities is weak, even if it is positive. Furthermore, there is a strong and positive relationship between the three dimensions of sustainability at the university level. This study contributes to the academic literature on the subject and highlights the critical",Journal
Does the intensity of use of social media influence the economic sustainability of the university_,sustainability,This study contributes to the academic literature on the subject and highlights the critical role of higher education institutions in promoting sustainability. Keywords  Social media · Intensity of use · Economic sustainability · Social sustainability ·,Journal
Does the intensity of use of social media influence the economic sustainability of the university_,sustainability,role of higher education institutions in promoting sustainability. Keywords  Social media · Intensity of use · Economic sustainability · Social sustainability · Environmental sustainability,Journal
Does the intensity of use of social media influence the economic sustainability of the university_,sustainability,Keywords  Social media · Intensity of use · Economic sustainability · Social sustainability · Environmental sustainability JEL Classification  Q01 · Q50 · L82 · I20 · I23,Journal
Does the intensity of use of social media influence the economic sustainability of the university_,sustainability,"1  Introduction Sustainability is becoming increasingly important as it is seen as an essential part of our lives (Segovia-Vargas et al., 2021). The three dimensions of sustainability (i.e. social, envi-",Journal
Does the intensity of use of social media influence the economic sustainability of the university_,sustainability,"Sustainability is becoming increasingly important as it is seen as an essential part of our lives (Segovia-Vargas et al., 2021). The three dimensions of sustainability (i.e. social, envi- ronmental and economic) play an essential role in the development of sustainable actions",Journal
Does the intensity of use of social media influence the economic sustainability of the university_,gas,"Sustainability is becoming increasingly important as it is seen as an essential part of our lives (Segovia-Vargas et al., 2021). The three dimensions of sustainability (i.e. social, envi- ronmental and economic) play an essential role in the development of sustainable actions",Journal
Does the intensity of use of social media influence the economic sustainability of the university_,sustainable,"lives (Segovia-Vargas et al., 2021). The three dimensions of sustainability (i.e. social, envi- ronmental and economic) play an essential role in the development of sustainable actions (Hansmann et al., 2012; Purvis et al., 2019), which is why more and more reports produced",Journal
